product_name,price_of_the_product,properties,star_ratings,no_of_ratings,no_of_reviews
Blue Star ETERNIA  LED UV Water Purifier,"₹6,990","['Electrical & Non - Storage', 'UV', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables and Plastics']",3.9,47,8
NASAKA Tulip N1 8 L RO + UF Water Purifier,"₹8,290","['Electrical & Storage', 'RO + UF', '8 L Capacity', '1+ 4 Years Company Domestic Warranty against any manufacturing defects']",4.4,105,25
Grand plus SWIFT TPT 14 L RO + UV + UF + TDS Water Purifier,"₹5,398","['Electrical & Storage', 'RO + UV + UF + TDS', '14 L Capacity', ""Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) Ã¢?Â¢ All service will chargeable""]",none,none,none
Hindware Calisto RO + UV + UF 7 L RO + UV + UF Water Purifier,"₹7,499","['Electrical & Storage', 'RO + UV + UF', '7 L Capacity', '1 Year Comprehensive Warranty from the Date of Installation ( 6 Months for All Filters + 1 Year for R.O Membrane).']",4,"18,523","4,294"
KENT Grand Plus ZW 9 L RO + UV + UF + TDS Water Purifier,"₹16,489","['Electrical & Storage', 'RO + UV + UF + TDS', '9 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.3,49,6
Aqua Fresh Audi Black Model 12 L RO + UV + UF + TDS Water Purifier,"₹5,159","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', 'Replacement:Parts will be sent through courier. Customer courier the parts on seller address has customer cost.Technician visit will be chargeable if applicable']",3.8,530,81
NASAKA Xtra Sure 20 L  Water Purifier 20 L Gravity Based Water Purifier,"₹1,849","['Non - Electrical & Storage', 'Gravity Based', '20 L Capacity', 'One Year manufacturer warranty']",4.3,213,19
Eureka Forbes Aquasure from Aquaguard Shield 6 L RO + UV + MP + MTDS Water Purifier,"₹7,999","['Electrical & Storage', 'RO + UV + MP + MTDS', '6 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,"16,252","3,697"
V-Guard Zenora RO+UV+MB 7 L RO + UV + MB Water Purifier,"₹10,864","['Electrical & Storage', 'RO + UV + MB', '7 L Capacity', 'One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit, if applicable, will be free for the customer.']",4.4,178,35
Aqua Fresh NYC W COPPER+RO+UV+TDS 15 L WHITE AUTOMATIC ELECTRICAL BOREWELL 1500 TDS BEST HOME WATER PU...,"₹5,699","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '6 MONTH OFFSITE WARRANTY ON PUMP & SMPS, INSTALLATION WILL BE PROVIDED BY SELLER, BUYER HAS TO PAY RS. 400-700 FOR INSTALLATION OUR TECHNICIAN WILL VISIT BUYER WITH IN 2 TO 4 DAYS for query/installation 8178961873 between 10 am to 6 pm. after installation every visit will be chargeable 300. SUNDAY closed.']",3.8,"5,425",915
Aquagrand NYC Model 12 L ALKALINE VITAMIN B12 + RO + UV + UF + TDS+ALKALINE B12 12 L RO + UV + UF + TD...,"₹5,299","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4.6,13,2
Aquaguard Glory 6 L RO + UV + MTDS Water Purifier with Active Copper technology,"₹14,999","['Electrical & Storage', 'RO + UV + MTDS', '6 L Capacity', '1 Year Manufacturer Warranty from the Date of Purchase, 1 Year Warranty on RO Membrane']",4.2,224,32
KENT ELEGANT LITE 8 L RO + UF + TDS Water Purifier,"₹12,875","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty + 3 Years free service']",none,none,none
SAMTA AquaPure 15 L RO + UV + UF + TDS Water Purifier,"₹5,199","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '12 months replacement of electrical part .installation charges Rs400 & service Rs 250 customer care 720 620 3608']",3.9,519,89
Grand plus AQUA Green Nyc 12 L RO + UV + UF + TDS Water Purifier,"₹5,498","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', ""Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) Ã¢?Â¢ All service will chargeable""]",4.3,30,5
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"4,009",422
Prestige Tattva 1.0 16 L Gravity Based Water Purifier,"₹2,849","['Non - Electrical & Storage', 'Gravity Based', '16 L Capacity', 'Filter up 1500 l, Tap and Water Flow Funtions']",4,452,53
Faber FWP CASPER 10 L RO + UV + MAT Water Purifier,"₹9,499","['Electrical & Storage', 'RO + UV + MAT', '10 L Capacity', '12 months Warranty on Product. It includes manufacturing defects but excludes physical damage. Technician Visit, if applicable, will be charged to the customer']",4.2,41,9
KENT ACE (11032) 8 L RO + UV + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty + 3 Years free service']",4.3,"15,387","2,175"
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.5,443,48
KENT 11016 10 L Gravity Based + UF Water Purifier,"₹1,649","['Non - Electrical & Storage', 'Gravity Based + UF', '10 L Capacity', 'no covered in warranty']",none,none,none
SAMTA Techno Under The Counter/Under Sink 10 Litre  + Alkaline(Korean) + Antioxident + Reducing ORP + ...,"₹10,990","['Electrical & Storage', 'RO', '10 L Capacity', '12 months replacement of electrical part .customer care 720 620 3608']",none,none,none
NASAKA Xtra Sure 20 L by Okaya and Microtek 20 L Gravity Based Water Purifier,"₹1,849","['Non - Electrical & Storage', 'Gravity Based', '20 L Capacity', 'Warranty on manufecturing defect']",4,4,0
Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + MC Water Purifier,"₹7,999","['Electrical & Storage', 'RO + MC', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,981,188
"Aquaguard Apex 8 L RO + UV + MTDS Water Purifier with Active Copper technology, 7 stages purification","₹13,699","['Electrical & Storage', 'RO + UV + MTDS', '8 L Capacity', '1 Year Manufacturer Warranty from the Date of Purchase and RO Membrane']",4.2,95,14
Aquagrand Epic Model 12 Ltr 12 L RO + UV + UF + TDS Water Purifier,"₹5,760","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', 'Replacement:Parts will be sent through courier. Customer courier the parts on seller address has customer cost.Technician visit will be chargeable if applicable']",4,78,5
V-Guard RO+UF+MB White 7 L RO + UF + MB Water Purifier,"₹8,919","['Electrical & Storage', 'RO + UF + MB', '7 L Capacity', 'One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit, if applicable, will be free for the customer.']",4.2,351,72
Hindware Calisto RO + UV + UF 7 L RO + UV + UF Water Purifier,"₹7,499","['Electrical & Storage', 'RO + UV + UF', '7 L Capacity', '1 Year Comprehensive Warranty from the Date of Installation ( 6 Months for All Filters + 1 Year for R.O Membrane).']",4,"19,851","4,290"
Aqua Fresh Omega New Skyland Ro+Uv+Uf+tds+cpr 18 L RO + UV + UF + TDS Water Purifier,"₹5,399","['Electrical & Storage', 'RO + UV + UF + TDS', '18 L Capacity', ""Warranty on MOTER/SMPS available from Manufacture. But Installation amount will be paid by customer 450-600/- . If any problem occurs during warranty period Then buyer will make courier at Manufacture or service center address after that Manufacture will replace MOTER/SMPS (Manufacture will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) Ã¢?Â¢ All service will chargeable.""]",5,3,0
Aqua Ultra Reeva RO+B12 Technology Water Purifier 10 L RO + MF Water Purifier,"₹4,390","['Electrical & Storage', 'RO + MF', '10 L Capacity', '12 month manufacturer warranty']",3.4,36,6
Protek Elite Plus with L.E.D Indicators 12 L RO + UV + UF + TDS Water Purifier,"₹5,899","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '1 Year Warranty on Electrical Parts & 6 Months Warranty on Filter`s']",3.8,"2,346",539
Eureka Forbes Aquasure from Aquaguard Shield 6 L RO + UV + MP + MTDS Water Purifier,"₹7,999","['Electrical & Storage', 'RO + UV + MP + MTDS', '6 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,"15,824","3,715"
Aqua Fresh SKYLAND Model 18 L ALKALINE+ RO + UV + UF + TDS+ALKALINE 18 L RO + UV + UF + TDS Water Puri...,"₹5,398","['Electrical & Storage', 'RO + UV + UF + TDS', '18 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 9810392397 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4,115,22
KONVIO Non Electric Stainless Steel Gravity filter purifier 17 L Gravity Based Water Purifier,"₹1,997","['Non - Electrical & Storage', 'Gravity Based', '17 L Capacity', 'NA']",3.4,254,19
Blair AQUA GLORY RO UV UF TDS 14 L RO + UV + UF + TDS Water Purifier,"₹6,486","['Electrical & Storage', 'RO + UV + UF + TDS', '14 L Capacity', '1 YEAR OFFSITE FOR MOTOR AND SMPS']",3.8,81,19
Aquaguard Glory 6 L RO + UV + MTDS Water Purifier with Active Copper technology,"₹14,999","['Electrical & Storage', 'RO + UV + MTDS', '6 L Capacity', '1 Year Manufacturer Warranty from the Date of Purchase, 1 Year Warranty on RO Membrane']",4.2,235,34
Earth Ro System Black Audi 12 L RO + UV + UF + TDS Water Purifier,"₹4,999","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', 'Replacement:Parts will be sent through courier. Customer courier the parts on seller address has customer cost.Technician visit will be chargeable if applicable']",3.6,136,24
Aqua Nexon Black Model RO+UV+UF+TDS+Copper Filter 18 L RO + UV + UF + TDS Water Purifier,"₹5,199","['Electrical & Storage', 'RO + UV + UF + TDS', '18 L Capacity', '6 months domestic warranty']",4,14,1
Blue Star Eleanor 8 L RO + UV + UF Water Purifier,"₹12,990","['Electrical & Storage', 'RO + UV + UF', '8 L Capacity', '1 Year Warranty on Product']",4.1,81,4
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,814",424
"KENT GRAND PLUS ZWW 9 LTR MINERAL RO+UV+UF+TDS CONTROL+ UV LED IN TANK, (WHITE) 20LTR/HR 20 L RO + UV ...","₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '20 L Capacity', '1 YEAR WARARNTY + 3 YEAR FREE SERVICE']",4.4,148,13
Faber FWP NEUTRON PLUS 10 L RO + UV + UF Water Purifier,"₹13,990","['Electrical & Storage', 'RO + UV + UF + Copper Guard + pH enhancer', '10 L Capacity', '12 months Warranty on Product. It includes manufacturing defects but excludes physical damage. Technician Visit, if applicable, will be charged to the customer']",4.2,109,22
Pureit Copper Plus Mineral 8 L RO + UV + MF Water Purifier,"₹20,580","['Electrical & Storage', 'RO + UV + MF', '8 L Capacity', '1 Year Warranty']",4.6,9,0
Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + MC Water Purifier,"₹7,999","['Electrical & Storage', 'RO + MC', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,981,188
MarQ By Flipkart MQWPAROUVB7L 7 L RO + UV Water Purifier with Mineraliser & Copper,"₹7,299","['Electrical & Storage', 'RO + UV', '7 L Capacity', '1 Year Warranty Provided by the Manufacturer/Authorized Service Partner from Date of Purchase']",4.2,570,136
Aqua NYC Model RO_UV_UF_TDS_With Copper Filter 12 L RO + UV + UF + TDS Water Purifier,"₹5,249","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4,710,135
Grand plus AQUA TPT 14 STAGE 15 L RO + UV + UF + TDS Water Purifier,"₹5,899","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', ""Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) All service will chargeable""]",4.3,75,14
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.5,443,48
SAMTA 14 Stage RO+UV+UF+TDS controller +Mineral 15 L RO + UV + UF + TDS Water Purifier,"₹5,999","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '12 Month replacement on electrical part']",4.5,2,1
Blair ALTIS RO UV UF TDS 10 L RO + UV + UF + TDS Water Purifier,"₹5,399","['Electrical & Storage', 'RO + UV + UF + TDS', '10 L Capacity', '1 YEAR OFFSITE WARRANTY FOR MOTOR AND SMPS']",3.8,53,7
Grand plus CANDY 17 L RO + UV + UF + TDS Water Purifier,"₹5,198","['Electrical & Storage', 'RO + UV + UF + TDS', '17 L Capacity', ""Warranty on MOTER/SMPS available from Manufacture. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at Manufacture or service center address after that Manufacture will replace MOTER/SMPS (Manufacture will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) â?¢ All service will chargeable""]",3.7,316,44
KENT Ace 8 L RO + UV + UF + TDS Water Purifier,"₹13,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"44,883","5,154"
Aqua Fresh nyc blue MINERAL+RO+UV+TDS+UF 15L 15 L RO + UV + UF + TDS Water Purifier,"₹5,548","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', 'ONE YEAR OFFSITE WARRANTY  ON ELECTRONIC PARTS, TERMS AND CONDITION 1) Installation provided by seller charges Paid by customer 400-700 . If customer will install by third party so warranty will avoid (withdrawal) 2) Membranes is not cover in warranty 3)  Membrane will cover stand TDS of water (upto 1500-TDS) 4) Water Purifies body color may be differ against Shaw on website 5) Warranty cover for 1 Years ( MOTER , SMPS) 6) Our Executive Will solve customer problems within 24 to 48 HR Customer care Timing is :- 10AM TO 6PM (MON TO SAT) SUNDAY CLOSED.']",3.9,65,10
Hindware ELARA 7 L RO + UV Water Purifier,"₹9,499","['Electrical & Storage', 'RO + UV', '7 L Capacity', '1 Year Comprehensive Warranty from the Date of Installation (6 Months for All Filters and 1 Year for R.O Membrane)']",4,16,4
Rk Aquafresh India 33909772488 12 L RO + UV + UF + TDS Water Purifier,"₹4,399","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', 'THREE.MONTHS WARRANTY ON ELECTRONIC ITEMS EXCEPT UV LAMP OFFSITE FOR EVERY VISIT CUSTOMER NEED TO PAY VISIT CHARGES DIRECTLY TO TECHNICIAN 350RS']",4.2,131,36
Eureka Forbes Aquasure from Aquaguard Shield 6 L RO + UV + MP + MTDS Water Purifier,"₹7,999","['Electrical & Storage', 'RO + UV + MP + MTDS', '6 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,"15,824","3,715"
LIVPURE Pep+ 7 L RO + UV + TDS Water Purifier,"₹13,710","['Electrical & Storage', 'RO + UV + TDS', '7 L Capacity', 'Both Domestic and International Warranty']",none,none,none
Grand plus 16 ltrs port 16 L Gravity Based Water Purifier,"₹1,310","['Non - Electrical & Storage', 'Gravity Based', '16 L Capacity', '3 month warranty on only mechanical parts']",3.8,151,15
Prestige Tattva 1.0 SS 16 L Gravity Based + EAT Water Purifier,"₹2,825","['Non - Electrical & Storage', 'Gravity Based + EAT', '16 L Capacity', 'Manufacture Warranty']",3.9,"1,147",171
Aquaguard Glory 6 L RO + UV + MTDS Water Purifier with Active Copper technology,"₹14,999","['Electrical & Storage', 'RO + UV + MTDS', '6 L Capacity', '1 Year Manufacturer Warranty from the Date of Purchase, 1 Year Warranty on RO Membrane']",4.2,235,34
Aqua Ultra Platinum RO+11W 14 L RO + UV + UF + TDS Water Purifier,"₹4,875","['Electrical & Storage', 'RO + UV + UF + TDS', '14 L Capacity', '12 month manufacturer warranty']",3.5,10,3
Grand plus RO UV UF TDS AUDI 12 L RO + UV + UF + TDS Water Purifier,"₹5,183","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', ""Warranty on MOTER/SMPS available from Manufacture. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at Manufacture or service center address after that Manufacture will replace MOTER/SMPS (Manufacture will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) â?¢ All service will chargeable""]",3.6,"1,029",192
Eureka Forbes Aquasure from Aquaguard Splash 6 L RO + UV + MTDS Water Purifier,"₹13,999","['Electrical & Storage', 'RO + UV + MTDS', '6 L Capacity', '1 Year Warranty']",4.3,379,91
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,814",424
SAMTA wall mont OPEN  & Mineral RO Water Purifier,"₹5,599","['Electrical & Non - Storage', 'RO', '12 months replacement warranty on electrical parts']",4.4,14,4
Pureit Marvella 10 L RO + UV Water Purifier,"₹16,499","['Electrical & Storage', 'RO + UV', '10 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",4.1,415,60
Grand plus Golden Audy 12 L RO + UV + UF + TDS Water Purifier,"₹5,398","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', ""Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) All service will chargeable""]",3.8,49,8
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.5,443,48
KONVIO Active Copper RO+UV+TDS Water Purifier with High TDS 3000 Membrane Japanese UV 12 L RO + UV + U...,"₹6,999","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '1 Year warranty on electrical parts.']",4.1,40,13
Protek Ultra 2.0 3.5 L Gravity Based Water Purifier,"₹1,099","['Non - Electrical & Storage', 'Gravity Based', '3.5 L Capacity', '1 year domestic manufacturer warranty']",3.4,32,4
Prestige 49004 16 L Gravity Based Water Purifier,"₹4,399","['Non - Electrical & Storage', 'Gravity Based', '16 L Capacity', 'Manufacturer Warranty']",3.9,"1,313",186
Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + MC Water Purifier,"₹7,999","['Electrical & Storage', 'RO + MC', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,981,188
HAVELLS Pro 8 L RO + UV Water Purifier,"₹12,885","['Electrical & Storage', 'RO + UV', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase']",4.4,35,6
LG WW151NP 8 L RO + UF Water Purifier,"₹20,100","['Electrical & Non - Storage', 'RO + UF', '8 L Capacity', '1 year on product and 10 years on stainless steel tank from Manufacturer']",none,none,none
Royal Aquafresh New Copper Audi 12 L RO + UV + UF + TDS Water Purifier,"₹5,498","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', 'Six month OFFSITE WARRANTY ON MOTER AND SMPS , INSTALLATION WILL BE PROVIDED BY SELLER, BUYER HAS TO PAY RS. 450-600 FOR INSTALLATION OUR TECHNICIAN WILL VISIT BUYER WITH IN 24 TO 48 HOURS for query/installation 9953991931 between 10 am to 6 pm. after installation every visit will be chargeable 300. SUNDAY closed']",3.9,81,10
Hindware Calisto RO + UV + UF 7 L RO + UV + UF Water Purifier,"₹7,499","['Electrical & Storage', 'RO + UV + UF', '7 L Capacity', '1 Year Comprehensive Warranty from the Date of Installation ( 6 Months for All Filters + 1 Year for R.O Membrane).']",4,"18,523","4,294"
Earth Ro System Red Audi 12 L RO + UV + UF + TDS Water Purifier,"₹5,399","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', 'Replacement:Parts will be sent through courier. Customer courier the parts on seller address has customer cost.Technician visit will be chargeable if applicable']",4.3,3,0
Ao Smith UTC X5+ 7.5 L RO Water Purifier,"₹14,490","['Electrical & Storage', 'RO', '7.5 L Capacity', '1 Year Comprehensive Warranty & 2 Years RO Membrane warranty if TDS is < 2000 ppm & Hardness is < 400 ppm OR 1 Year RO Membrane Warranty if TDS is < 2000 ppm Hardness is above 400 ppm']",4.2,26,4
Aqua grand Epic Model 12 Ltr RO+UV+UF+TDS Controller 12 L RO + UV + UF + TDS Water Purifier,"₹5,299","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",3.8,43,6
Eureka Forbes Aquasure from Aquaguard Shield 6 L RO + UV + MP + MTDS Water Purifier,"₹7,999","['Electrical & Storage', 'RO + UV + MP + MTDS', '6 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,"15,824","3,715"
Zero B SURAKSHA TAP ATTACHMENT 7500 L Gravity Based Water Purifier,₹499,"['Non - Electrical & Non - Storage', 'Gravity Based', '7500 L Capacity', 'One year of the tap attachment']",3.8,166,19
Aqua Epic Model Mineral ALKALINE ro+uv+uf+tds 12 L ALKALINE + 15 L RO + UV + UF + TDS Water Purifier,"₹5,199","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '6 Months offsite warranty on all electronic parts']",4.2,13,2
Ao Smith X8 9 L RO Water Purifier,"₹18,990","['Electrical & Storage', 'RO', '9 L Capacity', '1 Year Comprehensive Warranty & 1 Year RO Membrane warranty based on the input water TDS is < 2000 ppm and Hardness is < 400 ppm & 6 Months Warranty on Consumables/Filters.']",4.1,74,10
Aquaguard Glory 6 L RO + UV + MTDS Water Purifier with Active Copper technology,"₹14,999","['Electrical & Storage', 'RO + UV + MTDS', '6 L Capacity', '1 Year Manufacturer Warranty from the Date of Purchase, 1 Year Warranty on RO Membrane']",4.2,235,34
FABER Altroz with Heavy Duty Membrane Upto 3000 TDS 10 L RO + UV + MAT Water Purifier,"₹15,490","['Electrical & Storage', 'RO + UV + MAT', '10 L Capacity', '12 months Warranty on Product. It includes manufacturing defects but excludes physical damage. Technician Visit, if applicable, will be charged to the customer']",3.9,49,8
aquadeal Combo RO + UV_LED + UF + TDS + ACTIVE COPPER 15 L RO + UV + UF + Copper Guard + pH enhancer W...,"₹11,990","['Electrical & Storage', 'RO + UV + UF + Copper Guard + pH enhancer', '15 L Capacity', '12 months manufacture domestic warranty of all electrical part excluding filters if applicable technicial visit free']",5,2,1
Grand plus BLUE SWIFT 10 LTRs 10 L RO + UV + UF + TDS Water Purifier,"₹5,129","['Electrical & Storage', 'RO + UV + UF + TDS', '10 L Capacity', ""Warranty on MOTER/SMPS available from Manufacture. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at Manufacture or service center address after that Manufacture will replace MOTER/SMPS (Manufacture will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) â?¢ All service will chargeable""]",3.9,49,9
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,814",424
Aquagrand Plus SKYLAND 18 LTR RO UV UF TDS COPPER WTER PURIFIRE 7 STAGE 18 L RO + UV + UF + TDS Water ...,"₹4,999","['Electrical & Storage', 'RO + UV + UF + TDS', '18 L Capacity', ""Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) Ã¢?Â¢ All service will chargeable""]",none,none,none
Aquaguard 1229101076003531 15 L RO + UV + UF + TDS Water Purifier,"₹18,000","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', 'PURCHASE DATE']",3.8,85,11
KONVIO Steel Gravity 18L With TDS Meter 18 L Gravity Based Water Purifier,"₹2,199","['Non - Electrical & Storage', 'Gravity Based', '18 L Capacity', 'Warranty is not applicable as product is consumable, any defect in transit will be taken care off.']",none,none,none
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.5,443,48
Aqua Ultra B12LED 12 L RO + MF Water Purifier,"₹5,454","['Electrical & Storage', 'RO + MF', '12 L Capacity', '12 month']",3.8,49,10
nexus pure OPEL 2 COPPER + ALKALINE 14 L RO + UV + UF + TDS Water Purifier,"₹6,149","['Electrical & Storage', 'RO + UV + UF + TDS', '14 L Capacity', '6 MONTH OFFSITE']",4,89,24
Aquasure amrit ex 10 L Gravity Based Water Purifier,"₹1,950","['Non - Electrical & Storage', 'Gravity Based', '10 L Capacity', 'except damage everthing is covered']",4.2,18,1
Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + MC Water Purifier,"₹7,999","['Electrical & Storage', 'RO + MC', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,981,188
KENT GRAND (NEW) 8 L RO + UV + UF + TDS Water Purifier,"₹15,490","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty + 3 Years free service']",none,none,none
